ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
T006.407.16.033.00,Tissot Le locle T006.407.16.033.00,M,world,341.05,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0064071603300.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-le-locle-powermatic-80-automatic-mens-watch-t0064071603300.jpg,Jomashop,le.locle,,Automatic,80,,39,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,Silver,Leather,Black,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a black leather strap. Fixed silver-tone stainless steel bezel. Silver dial with grey hands and Roman numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Tissot Calibre Powermatic 80 (C07.111) automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape, case size: 39 mm, case thickness: 10 mm. Band width: 19 mm, band length: 9 inches. Butterfly clasp. Water resistant at 30 meters / 100 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot Le Locle Powermatic 80 Automatic Mens Watch T006.407.16.033.00.","Calendar, Leather, Stainless Steel"
BN0151-09L,Citizen Promaster diver Bn0151-09l,M,world,156.74,USD,Citizen,New,,https://www.jomashop.com/citizen-watch-bn0151-09l.html,https://cdn2.jomashop.com/media/catalog/product/c/i/citizen-promaster-professional-diver-dark-blue-dial-men_s-watch-bn0151-09l.jpg,Jomashop,promaster.diver,,Eco-Drive,,,48,Stainless Steel,20,Stainless Steel,Scratch Resistant Mineral,Dark Blue,Polyurethane,Navy Blue,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a navy blue polyurethane strap. Uni-directional rotating silver-tone and blue ion-plated stainless steel bezel. Dark blue dial with luminous silver-tone and orange hands and dot hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Citizen Caliber Eco-Drive E168 eco-drive movement. Scratch resistant mineral crystal. Screw down crown. Solid case back. Round case shape, case size: 48 mm, case thickness: 12 mm. Band width: 20 mm, band length: 7.5 inches. Tang clasp. Water resistant at 200 meters / 660 feet. Functions: date, hour, minute, second. Additional Info: solar power watch. charges with light, never requires battery or battery replacement. Sport watch style. Watch label: Japan Movt. Item Variations: BN0151 09L, BN0151.09L, BN015109L. Citizen Promaster Professional Diver Mens Watch BN0151-09L.","Solar, Stainless Steel"
T055.417.16.037.00,Tissot Prc 200 T055.417.16.037.00,M,world,279.99,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0554171603700.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-prc-200-chronograph-silver-dial-men_s-watch-t0554171603700_1.jpg,Jomashop,prc.200,,Quartz,,,42,Stainless Steel,20,Stainless Steel,Scratch Resistant Sapphire,Silver,Leather,Brown,,,"Chronograph, Date, Hour, Minute, Second, Tachymeter","Stainless steel case with a brown leather strap. Fixed stainless steel bezel. Brown dial with luminous silver-tone hands and index hour markers. Arabic numerals mark the 3, 9 and 12 o'clock positions. Minute markers. Tachymeter around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 1/10th of a second. Quartz movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Case diameter: 42 mm. Case thickness: 13 mm. Round case shape. Band width: 19 mm. Band length: 8.5 inches. Deployment clasp. Water resistant at 200 meters / 660 feet. Functions: chronograph, tachymeter, date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot PRC 200 Chronograph Silver Dial Brown Leather Men's Watch T0554171603700","Calendar, Chronograph, Leather, Stainless Steel"
T086.408.11.031.00,Tissot Luxury automatic T086.408.11.031.00,M,world,399,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t086-408-11-031-00.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-luxury-automatic-silver-dial-men_s-watch-t086.408.11.031.00_4.jpg,Jomashop,luxury.automatic,,Automatic,80,,41,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Silver,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a silver-tone stainless steel bracelet. Fixed silver-tone stainless steel bezel. Silver dial with silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Tissot Calibre Powermatic 80 (C07.111) automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape, case size: 41 mm, case thickness: 9.75 mm. Band width: 22 mm, band length: 8 inches. Deployment with push button release clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Dress watch style. Watch label: Swiss Made. Item Variations: T086 408 11 031 00, T086-408-11-031-00, T086/408/11/031/00, T0864081103100. Tissot Luxury Automatic Silver Dial Mens Watch T086.408.11.031.00.","Calendar, Stainless Steel"
H64455533,Hamilton Khaki H64455533,M,world,331.55,USD,Hamilton,New,,https://www.jomashop.com/hamilton-mens-watch-h64455533.html,https://cdn2.jomashop.com/media/catalog/product/h/a/hamilton-khaki-king-series-automatic-mens-watch-h64455533.jpg,Jomashop,khaki,,Automatic,80,,40,Brushed Stainless Steel,5,Polished Stainless Steel,Scratch Resistant Sapphire,Black,Leather,Brown,,,"Date, Day, Hour, Minute, Second","Silver-tone brushed stainless steel case with a brown leather strap. Fixed silver-tone polished stainless steel bezel. Black dial with luminous hands and Arabic numeral hour markers. Minute markers around the outer rim. GMT scale. Dial Type: Analog. Luminescent hands and markers. Day and date display at the 12 o'clock position. Hamilton Calibre H-40 automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Protected steel crown. Skeleton case back. Round case shape, case size: 40 mm, case thickness: 11 mm. Band width: 20 mm, band length: 8.5 inches. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: date, day, hour, minute, second. Sport watch style. Watch label: Swiss Made. Item Variations: H64455533. Hamilton Khaki King Series Automatic Mens Watch H64455533.","Calendar, GMT, Leather, Stainless Steel"
1500-ST-00785,Raymond Weil Shine 1500-st-00785,M,world,499.99,USD,Raymond Weil,New,,https://www.jomashop.com/raymond-weil-shine-weil-black-dial-stainless-steel-ladies-watch-1500-st-00785.html,https://cdn2.jomashop.com/media/catalog/product/r/a/raymond-weil-shine-diamond-black-dial-watch-1500-st-00785.jpg,Jomashop,shine,,Quartz,,,44,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,Black,Stainless Steel,Silver-tone,,,"Hour, Minute","Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Black dial with silver-tone hands and diamond hour markers. Roman numerals mark the 6 and 12 o'clock positions. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Rectangle case shape. Case dimensions: 44.2 mm x 19 mm. Case thickness: 6 mm. Band width: 15 mm. Fold over clasp with a double push button release. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Casual watch style. Watch label: Swiss Made. Item Variations: 1500 ST 00785, 1500.ST.00785, 1500ST00785. Raymond Weil Shine Diamond Black Dial Ladies Watch 1500-ST-00785.","Diamond, Stainless Steel"
SNA411,Seiko Flight Sna411,M,world,208.99,USD,Seiko,New,,https://www.jomashop.com/seiko-sna411.html,https://cdn2.jomashop.com/media/catalog/product/s/e/seiko-flight-chronograph-steel-black-dial-men_s-watch-sna411_4.jpg,Jomashop,flight,,Quartz,,,42,Stainless Steel,20,,Hardlex,Black,Stainless Steel,Silver-tone,,,"Chronograph, Alarm, Date, Hour, Minute, Small Second, Tachymeter","Stainless steel case with a stainless steel bracelet. Bidirectional rotating black PVD bezel. Black dial with luminous hands and dot hour markers. Minute markers. Tachymeter markings. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Chronograph - three sub-dials displaying: 60 seconds, 60 minutes and 12 hours (alarm). Quartz movement. Scratch resistant Hardlex crystal. Screw down crown. Solid case back. Case diameter: 42 mm. Case thickness: 13 mm. Round case shape. Push button deployment clasp. Water resistant at 200 meters / 660 feet. Functions: alarm, tachymeter, second, chronograph, date, hour, minute. Additional Info: alarm; fuel consumption calculations; flight climb calculations; chronograph; tachymeter; date displays at 3 o'clock position. Sport watch style. Watch label: Japan Movt. Item Variations: SNA411, SNA411-1, SNA411-P1, SNA411P1, Seiko-SNA411, Seiko-SNA411-1. Seiko Flight Chronograph Steel Black Dial Mens Watch SNA411.","Alarm, Calendar, Chronograph, Stainless Steel"
T101.408.11.051.00,Tissot Pr 100 T101.408.11.051.00,M,world,299,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t101-408-11-051-00.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-pr-100-automatic-men_s-watch-t101.408.11.051.00_4.jpg,Jomashop,pr.100,,Automatic,80,,39,Stainless Steel,10,Stainless Steel,Scratch Resistant Sapphire,Black,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Black dial with luminous silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 6 o'clock position. Tissot calibre Powermatic 80 (C07.111) automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Transparent case back. Case size: 39 mm. Case thickness: 10.39 mm. Round case shape. Band width: 20 mm. Fold over clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Dress watch style. Watch label: Swiss Made. Tissot PR 100 Automatic Black Dial Mens Watch T101.408.11.051.00.","Calendar, Stainless Steel"
T006.407.36.263.00,Tissot Le locle T006.407.36.263.00,M,world,408,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t0064073626300.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-le-locle-powermatic-80-automatic-mens-watch-t006.407.36.263.00--.jpg,Jomashop,le.locle,,Automatic,80,,39,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,Ivory,Leather,Brown,,,"Date, Hour, Minute, Second","Yellow gold PVD stainless steel case with a brown leather strap. Fixed yellow gold PVD stainless steel bezel. Ivory dial with yellow gold-tone hands and Roman numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Tissot Calibre Powermatic 80 (C07.111) automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape, case size: 39 mm, case thickness: 10 mm. Band width: 19 mm, band length: 7.75 inches. Butterfly clasp. Water resistant at 30 meters / 100 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot Le Locle Powermatic 80 Automatic Mens Watch T006.407.36.263.00.","Calendar, Gold, Leather, Stainless Steel"
T100.430.11.031.00,Tissot Prs 516 T100.430.11.031.00,M,world,349.99,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t100-430-11-031-00.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-prs-516-powermatic-80-automatic-mens-watch-t100.430.11.031.00.jpg,Jomashop,prs.516,,Automatic,80,,42,Stainless Steel,10,Ceramic,Scratch Resistant Sapphire,Silver-tone,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Stainless steel case with a stainless steel bracelet. Fixed black ceramic bezel. Silver-tone dial with luminous silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Day of the week and date display at the 3 o'clock position. Powermatic 80 (ETA C07.621) automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Transparent case back. Round case shape. Case size: 42 mm. Case thickness: 12.9 mm. Band width: 20 mm. Butterfly clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Sport watch style. Watch label: Swiss Made. Tissot PRS 516 Powermatic 80 Automatic Mens Watch T100.430.11.031.00.","Calendar, Stainless Steel"
